text,label_text
"""Mr. Haut [counsel for plaintiffs]: In exchange on the part of the Defendants, the Plaintiffs will execute two (2) promissory notes.","Facts, Others"
", The .fact that, the shoes which appellant said he owned were produced and turned over to the .sheriff did not conduce to establish his guilt in the commission of the burglary.","Facts, Invalid sentences"
"5 and 6, respectively, the argument complained of was:","Facts, Invalid sentences"
A confession alone is not sufficient.,"Facts, Analysis"
"A statement of facts, setting forth the testimony heard at the hearing, accompanies the record before us.","Facts, Others"
"“ ‘Narcotic drugs’ means coca leaves, opium, and cannabis, amidone, and isonipecaine, every substance neither chemically nor physically distinguishable from them * *","Facts, Analysis"
“ ‘There is no defense in this kind of ease except that he didn’t write the letter.’ ”,"Facts, Analysis"
“Any person who shall procure or attempt to procure or be concerned in procuring with or without her consent a female for prostitution * * * shall be confined in the penitentiary for any term of years not less than two.”,"Facts, Rule/Law/Holding"
"“That the insistence of the said Mackin that the court recess at 11:40 A.M., and immediately before the court called for the reading of the indictment and entry of a plea, the court having previously stated to the said Mackin and the state’s attorney that the court would not recess for lunch until said indictment was read and a plea entered thereto, the said Mackin fraudulently effected the absence of the defendant Kitchens and prevented the court in the absence of a plea from proceeding with the trial of the cause; the court finds that the said Mackin, knowingly and fraudulently, thus perpetrated a fraud upon the court causing a mistrial of the cause, and the defendant Kitchens to absent himself prior to a plea to the indictment, and the said Jack Mackin is adjudged in contempt of the court * * *”","Facts, Rule/Law/Holding"
“The conviction will be reversed where the undisputed proof shows that the premises did not belong to and were not in possession of the person or parties named in the indictment as owner.”,"Facts, Analysis"
“Where the instrument alleged to be forged is set out in the indictment according to its tenor the writing offered in evidence must conform thereto with almost minute precision.,"Facts, Analysis"
Affidavit for Attachment and Undertaking on Attachment and obtained a Writ of Attachment from this Court.,"Facts, Others"
After the appellant said: “This is a holdup.,"Facts, Invalid sentences"
All payments under this Act shall be made from the Government Claims Fund.,"Facts, Rule/Law/Holding"
"All proceedings appear to be regular, and nothing is presented for review.","Facts, Analysis"
"Also, only unsworn representations of counsel were considered, with no attempt to hear legally admitted evidence.","Facts, Others"
"Although the issue is not squarely before the Court at this time, it will be noted that ""claims against"" GMH in §6500.19 may in fact mean suits against Health Professionals employed by GMH.","Facts, Analysis"
Andrus described the shooting in substantially the same manner as Mrs. Jackson.,"Facts, Analysis"
Appellant complains of our holding that he waived any complaint as to the search by his failure to object at the time the pistol was introduced in evidence.,"Facts, Issue"
Appellant complains of the court’s action in permitting the Witness Thad Johnson to testify as to appellant’s statements to him relative to the location of the rifle with which he shot the deceased over the objection that he was under arrest and the statement was not reduced to writing after he had been duly warned.,"Facts, Issue"
Appellant contends that the trial court erred in changing the venue from Hardeman County to Wilbarger County on the ground that a second indictment had been returned and he had not been arrested or made bond under the second indictment.,"Facts, Issue"
Appellant first insists that the evidence is insufficient because it does not show that he came into possession of the property by means of false representation or pretext.,"Facts, Issue"
"Appellant further complains of the court’s charge on the ground that it did not require the jury to find, before convicting the appellant, that L. Schwartz Company did not consent to appellant’s application and conversion of the mohair.","Facts, Issue"
"Appellant insists that the court erred in overruling his motion to quash the indictment on the ground that there were no women on the Grand Jury which returned the indictment against him and because women had, except in the years 1955 and 1956, been systematically and deliberately excluded from Grand Jury service in Uvalde County since November 19, 1954, the effective date of the amendment of Article XVI, Section 19 of the Constitution of the State of Texas making women eligible for jury service in this State.","Facts, Issue"
"Appellant objected to such statement on the ground that it was a direct reference to his failure to testify, which objection was by the court overruled.","Facts, Issue"
Appellant objected to this testimony on the ground that at the time he made such statement to the officer he was under arrest; that the statement was not reduced to writing after proper warning and that it was improper impeachment.,"Facts, Issue"
Appellant raises three questions on appeal.,"Facts, Issue"
Appellant reurges certain points of error that were answered in our original opinion and we do not deem it necessary to discuss them further.,"Facts, Analysis"
"Appellant strenuously objects to the admission of testimony given by Deputy Sheriff Kitching that appellant was in a Dallas jail from April 28 to May 4, 1961, on the ground that this testimony was improper impeachment of his witnesses on an immaterial matter.","Facts, Issue"
Appellant urges that the trial court erred in admitting testimony given by one of the arresting officers that Jackson identified appellant at the line-up even before those participating in the line-up were in proper position.,"Facts, Issue"
Appellant’s remaining contention is that the court erred in admitting the evidence showing the insolvent financial condition of L. Schwartz Company and in refusing to withdraw such evidence from the jury’s consideration and instruct them not to consider the same.,"Facts, Issue"
Appellant’s requested instruction was insufficient to point out any error therein.,"Facts, Analysis"
"As to the mention of the prominent person, this is not such new evidence that can be construed as detrimental to appellant.","Facts, Analysis"
"As to what transpired during this trip, we quote the following:","Facts, Others"
As we understand appellant’s contention it is that the grand jury was an illegal grand jury simply because no women were called to serve thereon.,"Facts, Issue"
"As we view the matter, the only persons in actual possession of the knowledge and information as to the plan, purpose or design and intent of relator and the defendant were these parties themselves.","Facts, Analysis"
"At best, the trial judge made a presumption based upon actions and conduct, without any supporting facts.","Facts, Analysis"
"At most, the production of the shoes corroborated appellant’s statement that he owned them.","Facts, Analysis"
At the outset appellant is confronted with the holdings of this Court that one may not urge discrimination in the selection of a jury against a class of which he is not a member.,"Facts, Analysis"
Because of the possible wide ranging ramifications of the decision in this case the Court agreed to reconsider its prior decision on the basis of new evidence of the legislative intent.,"Facts, Others"
"Beyond creating a chilling effect on filing a claim with the government because a plaintiff would lose all should he be mistaken in his theory, this reading also creates troublesome due process problems as such an irrevocable election would have to e made before the plaintiff has the opportunity for any sort of discovery.","Facts, Analysis"
"Bill 1 complains that on cross-examination, in answer to the question “But you don’t like him (appellant) a bit in the world and that is your testimony?”","Facts, Issue"
Bill 3 complains that the court overruled his objection and motion to have the jury instructed not to consider the witness’ answer: “How do I know it?,"Facts, Issue"
"But in Kauss summary judgment was granted where a plaintiff filed a claim for intentional acts, and later a complaint for negligence.","Facts, Analysis"
"By failing to incorporate such a showing in the bill, any error is said to be waived.","Facts, Analysis"
By formal Bill of Exception No. 2 appellant complains of the overruling of his amended motion for new trial based upon jury misconduct.,"Facts, Issue"
"Claims against the Commercial Port, and the Public Utility Agency, Guam Power Authority, Guam Economic Development Authority, Guam Telephone Authority, Guam International Airport Authority, Gaming Commission, Guam Transit Authority and Guam Memorial Hospital Authority, however, shall be paid only out of the funds of those agencies.""","Facts, Rule/Law/Holding"
Complaint is further made to the admission of appellant’s confession in evidence over his objection that the proper predicate had not been laid.,"Facts, Issue"
Complaint is made to the court’s action in permitting two of the officers to testify as to the statement made by appellant on the occasion of his arrest.,"Facts, Issue"
"Defendant argues that the correct interpretation of the various provisions is that the Claims Act procedures are applicable while in the event of liability, GMH funds, rather than Government Claims Fund, will be drawn against.","Facts, Issue"
Defendant maintains that this interpretation is in direct conflict with other provisions of the Government Code.,"Facts, Issue"
"Error is urged because the witness Howard testified that he thought the calf was taken out of the pasture; and that he thought the calf could have gotten through the fence unassisted, but he did not think it would.","Facts, Analysis"
"Even the prospect of ultimate failure of such prosecutions by no means dispels their chilling effect on protected expression.""","Facts, Analysis"
"Even though there were no guards or steel bars to detain the defendant, the totality of the circumstance confirms that this was custodial interrogation.","Facts, Analysis"
"First, we agree with the defendants-appellants that the court committed error when it held that upon sale of the property in question the plaintiffs only had to pay Ten Thousand Dollars and then pay the remaining Ten Thousand Dollars in two yearly installments of Five Thousand Dollars.","Facts, Conclusion"
"First, we have determined that the defendants-appellants may prosecute this appeal independently of any partnership agreement which it might have with other defendants.","Facts, Analysis"
"Further, the Act only covers negligent torts, and sovereign immunity is not waived for intentional wrongs of the employee.","Facts, Analysis"
"Had the new Rules of Appellate Procedure been in effect during the pendency of this appeal, sanctions against the responsible attorneys would have been appropriate.","Facts, Others"
"He was successful in securing from the witness an admission that he could not remember all of their names and then propounded the question,","Facts, Invalid sentences"
Here there is no question that the claim and complaint sound in negligence.,"Facts, Analysis"
"His counsel also urges, by brief, that the state failed to adduce any testimony to corroborate the testimony of the arresting officer.","Facts, Issue"
"Honyea testified that he obtained the pistol and another one, an automatic, from appellant; that he loaned appellant $15.","Facts, Invalid sentences"
"However, it must be remembered that at the time of the May 11, 1977 deletion §6500.19 was already in effect.","Facts, Analysis"
"If the appellant heard deceased’s statement and it was known or thought to be true by the appellant, it would furnish a motive for silencing Farris by killing him.","Facts, Analysis"
"If the claim gives such facts as would enable the Government to investigate its liability, it should be judged sufficient.","Facts, Analysis"
"If there was, the question was asked and answered before any objection was made and there was no request that the evidence be withdrawn.","Facts, Analysis"
In absence of all the facts adduced at the hearing which resulted in the revocation of appellant’s probation we are in no position to pass upon the question.,"Facts, Analysis"
"In addition to the facts in the Bridges case, Lofton Frasier testified that he lived in Gorman and worked at a hardware store; that he stopped by the Bison store to buy a package of cigarettes; that appellant was standing there; that he had never seen appellant before; that about an hour later he heard that the store had been robbed; that he saw appellant pull “a stocking off","Facts, Invalid sentences"
"In addition, appellant testified to the same facts shown by the testimony to which he objected.","Facts, Analysis"
In an appeal from an order revoking probation the review is limited to the question of whether an abuse of the trial judge’s discretion is shown.,"Facts, Analysis"
"In his brief and in argument, appellant complains of the overruling of his motion for new trial which alleged that the prosecutor committed error during the course of his argument and that new evidence had been discovered.","Facts, Issue"
In his brief and in oral argument appellant states that he does not contend that he was discriminated against but contends that the Grand Jury which returned the indictment was an illegal Grand Jury because it was not selected in accordance with the Constitutional mandate that women serve on Grand Juries in this State.,"Facts, Issue"
"In response, the defendant argues that he was concerned that he might lose his job if he refused to answer certain questions and that he was afraid that he would be arrested if he left the office.","Facts, Issue"
"In the absence of a showing in the bill that the statement was not admissible as res gestae, reversible error is not shown.","Facts, Analysis"
