label,text,label_id,label_text
103,"* * * Get in the back room there, you and your wife both, get in there before I kill you,” the Jobes lay down on the floor in the vault as ordered.",1,Facts
103,1 and 2 he determined that each of them,1,Facts
103,1 and 3 recite that they were made in rebuttal to argument of the defense attorneys.,1,Facts
103,"1, 2, 3, 5 and 6 that there was no evidence to support the argument of which he complains.",1,Facts
103,"347, 263 S.W. 2d 564, the sheriff was asked on cross-examination if he had not “been after” the accused for a year, to which he replied, “Yes, as long as he steals, I will be after him.”",1,Facts
103,A chemist testified that an analysis made by him of the pills revealed that they contained amphetamine.,1,Facts
103,"A doctor did testify in Thurman’s case that he treated him at a hospital for his injuries and that he was with him about an hour and a half, during which time appellant was unconscious, and did nothing; that he found a bottle of whisky in appellant’s coat pocket, about half of which was gone.",1,Facts
103,"A hearing having been held on 30 April and May 1, 1980 on the petitions that the minor be certified for prosecution as an adult person, and the Court having heard testimony of the witnesses and examined the exhibits admitted in evidence, and the Court having filed its decision:",1,Facts
103,"A padlock was also found in the pickup, which was identified by the injured party as having come from his gasoline tank.",1,Facts
103,"A paraffin test, which was made on the appellant’s hand, revealed a heavy concentration of nitrate particles on his right hand indicating that he had recently fired a gun.",1,Facts
103,A peace officer testified that he investigated the loss of the grease traps and found them at the Iron Works Company and they were properly identified by the owner.,1,Facts
103,A pool of blood was in the yard and there was a trail of blood inside the house leading from the door to the bed.,1,Facts
103,A search of the pickup revealed a .22 caliber revolver hidden in the compartment under the dash board.,1,Facts
103,"A supplemental transcript showing that recognizance was in fact entered after notice of appeal was given has been filed, and our prior opinion dismissing this appeal is withdrawn.",1,Facts
103,A witness called by appellant corroborated his claim of non-intoxication and the defective condition of the brakes on the automobile he was driving.,1,Facts
103,A witness was also called who testified that on the morning after the shooting he found two empty .22 rifle cartridges in the yard at the deceased’s home.,1,Facts
103,"”, and the narcotics registry number “1305”, and thereby obtained from the pharmacist, and the pharmacist placed in his hand 100 dexamyl tablets, dexamyl containing amphetamine.",1,Facts
103,"“ ‘Convert to his own use’, as used in this Act, shall mean the application or use of such money or property in any manner or for any purpose not authorized by the owner thereof, and proof that such director, officer, agent or attorney at law or in fact, applied or used such money or property in any manner or for any purpose not authorized by the owner thereof, or that he advised, authorized, directed, aided or knowingly consented to such use or application, shall be prima facie evidence that such money or property was fraudulently misapplied and converted to the use of such director, officer, agent or attorney at law or in fact.”",1,Facts
103,“* * * the term ‘possession’ as used in the definition of robbery has a somewhat broader meaning than as restricted in the statute relating to theft.,1,Facts
103,“An indictment is in no way related to or based on the,1,Facts
103,"“AND THE GRAND JURORS AFORESAID, upon their oaths, in said Court, do further present, that on or about the 6th day of April, A.D., 1960, and anterior to the presentment of this indictment, in the County of Uvalde, and State of Texas, Louis M. Schwartz was an officer for an incorporated company, to wit: L. Schwartz Company, and by virtue of his being such officer the said Louis M. Schwartz came into possession, care and control of certain mohair, to wit: 3693 pounds of mohair, of the value of $4,062.30, belonging to Clifford Gee, and which said mohair had theretofore come into the possession, care and custody of the said L. Schwartz Company, as agent for the said Clifford Gee for the following purpose, to wit: the said L. Schwartz Company was to sell said mohair for a sum of money sufficient to pay the said Clifford Gee $1.10 per pound for said mohair, to collect the proceeds for the sale of said mohair, and pay over to the said Clifford Gee the sum of $1.10 per pound for said mohair from the proceeds of said sale; and the said Louis M. Schwartz did then and there fraudulently misapply and convert to his own use the said mohair, without the consent of the said Clifford Gee, the owner thereof.”",1,Facts
103,"“as soon as they started coming through the door I told the detective there, I says, ‘that is one of them right there’ (referring to appellant).”",1,Facts
103,"“Dear neighbor: This may be a peculiar way of doing things but then we live in peculiar times, don’t we.",1,Facts
103,“Do you look to Mr. Cain and Mr. Tucker to protect you or will you look to these officers?”,1,Facts
103,“GENTLEMENS OF THE JURY:,1,Facts
103,"“I cannot try this case to please these attorneys, Mr. Tucker and Mr. Cain, or any other defense attorneys.”",1,Facts
103,"“I do not have a sympathetic father or mother, I am representing, but I am representing all of the human beings in the State of Texas.",1,Facts
103,"“I thought I wouldn’t let him, and he started doing it and he started doing like that between my legs,” the complainant related.",1,Facts
103,"“In robbery the property must be taken by force and violence, not necessarily from the owner, but from any person in",1,Facts
103,"“When you and your family are on these highways driving you can’t help but sometimes wonder if some drunk driver is going to hit you, run over you and kill you.”",1,Facts
103,“Whether the accused appropriated the property or the proceeds of the sale of that property seems to be largely a question of intent.,1,Facts
103,“Why is it that a man claiming self defense would throw his gun in the tank.,1,Facts
103,"“You are further instructed that if the deceased, Clyde Watson, immediately before the homicide, shot at the defendant, James H. Richardson, with a gun, then the law presumes the deceased, Clyde Watson designed to inflict an injury upon the defendant, James H. Richardson, causing death or serious bodily injury to the said James H.",1,Facts
