text,label_text
"""When a statute, either alone or in conjunction with another statute or statutes, infringes on constitutional rights, this court has an obligation to make every effort to salvage the statute by an appropriate exclusion so long as legislative intent will not be frustrated thereby.""","Facts, Rule/Law/Holding, Analysis"
"Clearly, plaintiff is covered by the Workmen's Compensation Law.","Facts, Rule/Law/Holding, Others"
Patrolman Litherland’s testimony was to the same effect.,"Facts, Invalid sentences, Others"
"Appellant was indicted for robbery, the indictment alleging that he took two dollars from Charles Don Nichols on or about February 8, 1961.","Facts, Analysis, Issue"
"In refusing to give the charge on circumstantial evidence, the court fell into error.","Facts, Others, Analysis"
In the instant case the main fact sought to be proved was that appellant possessed the morphine in question.,"Facts, Issue, Analysis"
"We find the charge of exhibiting “a firearm, to-wit: gun” proper.","Facts, Conclusion, Analysis"
"Finding the evidence sufficient to support the conviction and no reversible error appearing, the judgment of the trial court is affirmed.","Facts, Conclusion, Analysis"
"The offense is carrying a pistol as a second offender; the punishment, confinement in jail for a period of 210 days.","Facts, Rule/Law/Holding, Issue"
"The offense is the unlawful possession of a narcotic drug, marijuana; the punishment, twenty-five years in the penitentiary.","Facts, Rule/Law/Holding, Issue"
"Upon another trial, this incident will doubtless not arise.","Facts, Others, Analysis"
"The conviction is for robbery with firearms; the punishment, fifty years.","Facts, Rule/Law/Holding, Issue"
"The offense is felony theft; the punishment, two years.","Facts, Rule/Law/Holding, Issue"
"The conviction is for murder without malice; the punishment, two years.","Facts, Rule/Law/Holding, Issue"
"From all the facts and circumstances, the trial judge was authorized to conclude that appellant intended to kill Matthews, as he confessed by his plea of guilty, and was making fair progress toward the accomplishment of that end by use of the knife when he was interrupted by Matthews’ flight and his inability to overtake him before he reached an officer.","Facts, Analysis, Conclusion"
"The offense is driving a motor vehicle upon a public highway while intoxicated; the punishment, 3 days in jail and a fine of $100.","Facts, Rule/Law/Holding, Issue"
The jury by their verdict rejected the testimony of appellant and we find the evidence sufficient to sustain their verdict.,"Facts, Analysis, Conclusion"
"The offense is murder without malice; the punishment, 3 years.","Facts, Rule/Law/Holding, Issue"
Whether this violation was committed before or after probation was granted is not shown.,"Issue, Others, Facts"
In response to the objection the court instructed the jury not to consider the remark of State’s counsel and denied the motion for mistrial.,"Issue, Conclusion, Others"
The failure to insert the word ‘unlawfully’ in the charging part of the indictment does not vitiate it.”,"Issue, Analysis, Facts"
"Office of City and County of Honolulu, 465 P.2d 549 (1970).","Rule/Law/Holding, Invalid sentences, Others"
"1 During the course of the trial, the plaintiff's proof having established that plaintiff was within the scope of his employment at the time of the incident, the court itself raised the issue of whether or not this action was barred under the Workmen's compensation Law, Government Code Sections 37000 et.","Rule/Law/Holding, Issue, Analysis"
"If the Guam Power Authority is ""autonomous"" as set forth in §21502, how can an agency relationship exist between it and the Government of Guam?","Rule/Law/Holding, Issue, Analysis"
"As developed above, the removal of a prisoner from a work-release program can result in a grievous loss of employment and certain due process standards attach to protect these rights to participate in the Step IV program.","Rule/Law/Holding, Analysis, Facts"
