text,label_id,label_text
"Further, the Act only covers negligent torts, and sovereign immunity is not waived for intentional wrongs of the employee.",1,Facts
"The claimant is not required to list his theories of recovery, but rather the facts which lead to liability.",1,Facts
"If the claim gives such facts as would enable the Government to investigate its liability, it should be judged sufficient.",1,Facts
"Defendant was indicted for Theft by Deception on July 28, 1979.",1,Facts
Once again defendants base their claim that the Court lacks jurisdiction over these counts on a reading of Section 6500.10.,1,Facts
The questioning lasted approximately an hour.,1,Facts
"Even though there were no guards or steel bars to detain the defendant, the totality of the circumstance confirms that this was custodial interrogation.",1,Facts
"The defendant was ordered by a superior immediately to appear in the Intelligence Division of the Department of Revenue and Taxation and certain questions were asked of him in the presence of the Department head, the special agent and a stenographer.",1,Facts
"The government appeals, arguing that the mere fact that the defendant's supervisor told him to go upstairs and talk to certain agents did not result in a custodial interrogation.",1,Facts
The plaintiffs have argued that as an appellate court we should not disturb the express findings of the trial court unless they are clearly erroneous.,1,Facts
"He moved successfully in the Superior Court to suppress certain statements made to his supervisor, on the theory that the statements resulted from a custodial interrogation where full Miranda warnings were not given.",1,Facts
The motions were heard by Judge John P. Raker and decision was reserved.,1,Facts
This matter came before the Court on defendant's summary judgment motion and motion to dismiss.,1,Facts
"On December 5, 1979, a Stay Order was’ entered by the District Court, ordering the Superior Court to refrain from taking any further action in People v. Flores, supra, pending the final determination of a December 5, 1979 Writ of Prohibition filed by the Government.",1,Facts
"On that same date an order was signed by the Honorable Paul J. Abbate, in which he disqualified the Attorney General's Office, due to an alleged conflict of interest, and in which the Presiding Judge then appointed a Special Prosecutor of his own choice.",1,Facts
"The Court finds that the intent of the Legislature was to include Guam Memorial Hospital within the statutory scheme of that act.""",1,Facts
The evidence offered showed that his original appeal in 1976 was not perfected as a result of a clerical error by the staff of the Court.,1,Facts
Within the federal case law there are decisions where the appellate court did not accept a notice of appeal that resulted from procedural correction of a clerical error by the method being attempted herein.,1,Facts
"Defendant Guam Memorial Hospital, (GMH), filed its motion for summary judgment on May 26, 1978 asserting the applicability of the Government Claims Act (GC Sections 6500 et seq.) to suits against GMH.",1,Facts
"That motion was granted by an order filed July 13, 1978 which stated that ""plaintiff failed to comply with the Government Claims Act. .",1,Facts
"The discussion of May 11, 1977 dealt with the propriety of deleting any reference to the Government Claims Act, The transcript indicated that the language was deleted with full understanding that thereafter claims against GMH would not be paid through the Government Claims Fund but through GMH's own funds.",1,Facts
"Defendant argues that it is impossible to reconcile plaintiff's position with the language of §6500.19 which mentions ""claims against"" GMH.",1,Facts
"However, rather than hear the motion to suppress, the Superior Court entertained an application to disqualify the Attorney General of Guam from acting as prosecutor in the case.",1,Facts
"The first cause of action sounds in negligence, count one against defendant Taijeron and count two against defendant Aguigui.",1,Facts
"The third cause of action is against defendant Taijeron for negligent supervision and claims $400,000 in damages.",1,Facts
Defendant's expressed purpose for vacating sentence was to allow him the opportunity to perfect an appeal of his conviction.,1,Facts
"Plaintiffs rely upon the transcript to bolster their original claim that the language of Government Code §49003(g), as it passed into law, did not cloak the Guam Memorial Hospital'with the protection of the Government Claims Act.",1,Facts
"The November 26, 1979 Decision and Order of the Superior Court is vacated, and the Superior Court is ordered to schedule a hearing on the disqualification issue with full and adequate notice being given to counsel for both sides.",1,Facts
"The notice of claim is not a pleading, neither is it a trap for the unwary.",1,Facts
Resolution of this motion requires examination of the claim filed.,1,Facts
"In response, the defendant argues that he was concerned that he might lose his job if he refused to answer certain questions and that he was afraid that he would be arrested if he left the office.",1,Facts
Thus employees are freed to some extent from concern about individual liability which make them overly cautious about their actions being found negligent and adversely affect their function as employees.,1,Facts
"This case comes before the Court on a ""Complaint to Recover Penalty"" by the Attorney General under Sections 17402 and 17402.1 of the Government Code of Guam.",1,Facts
"Though the Government has so far restricted itself to ""the shopowners and business affected by the legislation"", this is of little comfort.",1,Facts
The final motion to be disposed of is a summary judgment motion on the second cause of action.,1,Facts
This appeal results from the trial court's order compelling settlement of a land sales contract.,1,Facts
"This matter came before the Court on Defendant's motion to quash request for jury on March 7, 1980, before Judge Richard H. Benson.",1,Facts
"Plaintiff was represented by David Dooley, and defendant was represented by Davor Pevec and Thomas Himrod.",1,Facts
"A hearing having been held on 30 April and May 1, 1980 on the petitions that the minor be certified for prosecution as an adult person, and the Court having heard testimony of the witnesses and examined the exhibits admitted in evidence, and the Court having filed its decision:",1,Facts
"The matter came for hearing on a motion to vacate sentence in the above-entitled Court before the Honorable Paul J. Abbate on March 19, 1980.",1,Facts
The defendant was represented by Assistant Public Defender Richard Pipes and the Territory of Guam was represented by Deputy Attorney General R. Barrie Michelsen.,1,Facts
The Court received testimony and oral arguments from both parties.,1,Facts
The legislature determined that a similar rationale did not exist for intentional wrong doing by government employees.,1,Facts
"This matter comes before the Court on Plaintiffs' motion for reconsideration filed July 14, 1978.",1,Facts
"An initial hearing was had on this matter on December 17, 1979, with proceedings continued until December 27, 1979 so that the parties could have additional time to brief the issues presented.",1,Facts
All payments under this Act shall be made from the Government Claims Fund.,1,Facts
"Defendant was represented by Assistant Attorney General Roger Willmeth, the plaintiff was represented by Timothy Stewart.",1,Facts
"These are once again against the individual named defendants, but in this instance based on allegations of intentional tort.",1,Facts
"The motion of defendants to vacate and set aside the Attachment issued by this Court, came on regularly for hearing the 28th day of July, 1972, David M. Shapiro, Esq., appearing for the plaintiff and Joaquin C. Arriola appearing for the defendants, and the Court, having heard the argument and statements of counsel, finds the facts as follows:",1,Facts
Defendants are residents of the Territory of Guam and in personam jurisdiction is readily available.,1,Facts
"On June 29, 1972, plaintiff filed its complaint against defendants on a guaranty instrument.",1,Facts
Affidavit for Attachment and Undertaking on Attachment and obtained a Writ of Attachment from this Court.,1,Facts
"On July 14, 1972, the United States Marshal for the Territory of Guam issued his Notice of Levying on Real Property, and filed the same with the Department of Land Management, Government of Guam, under document No. 114073, on the same date.",1,Facts
"Defendants were served with summons and complaint, Writ of Attachment and Notice of Levying on Real Property, on July 18, 1972.",1,Facts
"This Memorandum Order results from the December 27, 1979 hearing on Writ of Prohibition, in which counsel for all interested parties appeared.",1,Facts
Plaintiff has plead $200.00 in damages on each count.,1,Facts
The second claim that this Court lacks jurisdiction regards counts one and two of the fourth and fifth causes of action.,1,Facts
"Each of these counts are against an individual defendant government employee and plead in excess of $100,000 damages.",1,Facts
