text,label_id,label_text
These billings as shown are $25.18 and the installation charge is $35.00.,1,Facts
The charges brought against Strauss had to do with an incident occurring around Thanksgiving when he called a local newspaper to complain about the fact that certain holiday furloughs had been cancelled.,1,Facts
"Strauss was then put in closed confinement for approximately a week where he was restricted to his cell for twenty-four hours a day, except for a half hour to take a shower and fresh air.",1,Facts
"Strauss was returned to the Adult Main Facility on December 5, 1979, where at a preliminary hearing the charges were read to him and he was asked how he wanted to plead.",1,Facts
No evidence was presented by the Department of Corrections to suggest that there were exigent circumstances which would justify the removal of the petitioners from the work-release hearing without a prior hearing.,1,Facts
"A prisoner has certain vested rights, similar to a parolee, once he is afforced the benefits of participating in a work-release program.",1,Facts
"While the facts are different in each of the above-captioned cases, there can be no question that each Petitioner was removed from the Work Release Program of the Department of Corrections and returned to the Guam Penitentiary, Adult Main Facility without a proper hearing.",1,Facts
"This Memorandum Order follows a February 22, 1980 Order of the District Court which required the immediate return of Petitioners STRAUSS, ROOT, SANTOS and REYES to the Halfway House Community Correctional Facility from which they were transferred without due process of law.",1,Facts
"On December 11, 1979 a final hearing was held, which resulted in Strauss permanent removal from the work-release program and a demotion in step level.",1,Facts
14-83 is null and void with respect to all grants and appropriations made by the United States to the government of Guam where the grant or appropriation provides one hundred percent of the funding for a specific project or purpose and which grant or appropriation makes no provision for local legislative control.,1,Facts
"Judgment was entered against Pacific Realty on April 9, 1979.",1,Facts
"2In determining whether or not agency relationship exists, control, or the right to control is considered.",1,Facts
"This much is clear, plaintiff is clearly an employee",1,Facts
"This leaves, however, the question of whether or not the Government of Guam is a third party in relation to the plaintiff.",1,Facts
Plaintiff did not willfully cause his own injury.,1,Facts
"During the course of the trial, testimony of plaintiff's witnesses disclosed that at the time of the incident alleged in plaintiff's complaint, plaintiff was driving a car belonging to the Guam Power Authority, that his car was assigned to plaintiff for this work, and at the time of the incident, plaintiff was driving the car to its assigned parking space, pursuant to standing instructions of his employer, the Guam Power Authority, at the time of the incident upon which the complaint is based, plaintiff was within the scope of his employment.",1,Facts
This case came before the court for trial.,1,Facts
"The above entitled action came on regularly to be heard on the 23rd day of January, 1978, Honorable Cristobal C. Dueñas, Judge of said Court, presiding; the petitioner, Russell Wong, Deputy, Consumer Counsel, a public official, appearing and being represented by his attorney, Ronald J. Cristal, Assistant Attorney General, and Doris Camina, Director, Bureau of Budget and Management Research, a public official, appearing without counsel, whereupon the papers filed by the petitioner and the stipulation filed by the respondent and petitioner were received, the case having been argued and submitted to the Court for its decision and the Court having duly considered the matters submitted and the argument of counsel, and being fully advised in the premises, did render and file its Findings of Fact and Conclusions of Law, and, pursuant to said Findings of Fact and Conclusions of Law,",1,Facts
"Root was returned to the Adult Main Facility sometime around March 26, 1978, and he was put into solitary confinement without the benefit of a hearing.",1,Facts
"On April 28, 1978 three was a reclassification hearing, where, according to his testimony, he was not given an opportunity to question witnesses regarding the assault charges brought against him.",1,Facts
"Santos was taken out of the work-release program and returned to the Adult Main Facility on January 6, 1980, where he was placed in solitary confinement.",1,Facts
The court will not consider the sufficiency of the summons mailed November which was not directed by the court for publication.,1,Facts
"Defendant bases her motion on the inconsistencies arising between the original summons mailed to her November 16, 1979 pursuant to the original complaint, and the summons she subsequently received December 31, 1979 mailed pursuant to plaintiff's amended complaint and order of the court for service by publication issued December 18, 1979.",1,Facts
"This court, upon review of all the records submitted herein, denies defendant's motion for the following reasons.",1,Facts
"This matter came on for hearing on April 4, 1980 to hear defendant, Gretchen Luttrell's, motion to quash service of summons by publication based on insufficiency of process.",1,Facts
"He may also be released to participate in unsupervised activities in the community, such as shopping, recreation and visiting friends.",1,Facts
He is eligible for leaves to renew contacts with his family.,1,Facts
"Like a parolee, a convict on work-release can pursue employment or education.",1,Facts
"Indeed, many of the 'core values of unqualified liberty' which the Supreme Court recognized that parolees enjoy, see Morrissey, supra, 408 U.S. at 482, 92 S.Ct.",1,Facts
"The Government has failed to show any justification for not conducting an adequate hearing before petitioners' actual removal from the work-release program, and for not affording petitioners their full due process rights at such a hearing.",1,Facts
"The Order was issued so that petitioners' partially vested rights could be reestablished fully, pending a fair and adequate hearing seeking to divest any such rights to work on the outside.",1,Facts
"The February 22, 1980 Order of the District Court, returning the petitioners to the Halfway House Facility, is not a ruling on the merits of the charges against them.",1,Facts
"As developed above, the removal of a prisoner from a work-release program can result in a grievous loss of employment and certain due process standards attach to protect these rights to participate in the Step IV program.",1,Facts
